Calothorax lucifer,Lucifer_Hummingbird
Calothorax pulcher,Beautiful_Hummingbird
Archilochus colubris,Ruby-throated_Hummingbird
Archilochus alexandri,Black-chinned_Hummingbird
Calypte anna,Anna's_Hummingbird
Calypte costae,Costa's_Hummingbird
Calliphlox evelynae,Bahama_Woodstar
Stellula calliope,Calliope_Hummingbird
Atthis heloisa,Bumblebee_Hummingbird
Atthis ellioti,Wine-throated_Hummingbird
Selasphorus platycercus,Broad-tailed_Hummingbird
Selasphorus rufus,Rufous_Hummingbird
Selasphorus sasin,Allen's_Hummingbird
Tyto alba,Barn_Owl
Otus flammeolus,Flammulated_Owl
Megascops kennicottii,Western_Screech-owl
Megascops asio,Eastern_Screech-owl
Megascops trichopsis,Whiskered_Screech-owl
Megascops barbarus,Bearded_Screech-owl
Bubo virginianus,Great_Horned Owl
Bubo scandiaca,Snowy_Owl
Strix occidentalis,Spotted_Owl
Strix varia,Barred_Owl
Strix fulvescens,Fulvous_Owl
Strix nebulosa,Great_Grey Owl
Strix virgata,Mottled_Owl
Strix nigrolineata,Black-and-white_Owl
Lophostrix cristata,Crested_Owl
Pulsatrix perspicillata,Spectacled_Owl
Surnia ulula,Northern_Hawk Owl
Glaucidium brasilianum,Ferruginous_Pygmy-owl
Micrathene whitneyi,Elf_Owl
Athene cunicularia,Burrowing_Owl
Aegolius funereus,Boreal_Owl
Aegolius acadicus,Northern_Saw-whet Owl
Aegolius ridgwayi,Southern_Saw-whet Owl
Asio stygius,Stygian_Owl
Asio otus,Long-eared_Owl
Pseudoscops clamator,Striped_Owl
Asio flammeus,Short-eared_Owl
Nyctibius grandis,Great_Potoo
Nyctibius jamaicensis,Northern_Potoo
Lurocalis semitorquatus,Short-tailed_Nighthawk
Chordeiles acutipennis,Lesser_Nighthawk
Chordeiles minor,Common_Nighthawk
Chordeiles gundlachii,Antillean_Nighthawk
Nyctidromus albicollis,Common_Pauraque
Phalaenoptilus nuttallii,Common_Poorwill
Nyctiphrynus mcleodii,Eared_Poorwill
Nyctiphrynus yucatanicus,Yucatan_Poorwill
Caprimulgus carolinensis,Chuck-will's-widow_Caprimulgus salvini,Tawny-collared_Nightjar
Caprimulgus badius,Yucatan_Nightjar
Caprimulgus ridgwayi,Buff-collared_Nightjar
Caprimulgus maculicaudus,Spot-tailed_Nightjar
Patagioenas leucocephala,White-crowned_Pigeon
Patagioenas speciosa,Scaled_Pigeon
Patagioenas squamosa,Scaly-naped_Pigeon
Patagioenas fasciata,Band-tailed_Pigeon
Patagioenas cayennensis,Pale-vented_Pigeon
Patagioenas flavirostris,Red-billed_Pigeon
Patagioenas nigrirostris,Short-billed_Pigeon
Ectopistes migratorius,Passenger_Pigeon
Zenaida macroura,Mourning_Dove
Zenaida graysoni,Socorro_Dove
Zenaida aurita,Zenaida_Dove
Columbina inca,Inca_Dove
Columbina passerina,Common_Ground-dove
Columbina minuta,Plain-breasted_Ground-dove
Columbina talpacoti,Ruddy_Ground-dove
Claravis pretiosa,Blue_Ground-dove
Claravis mondetoura,Maroon-chested_Ground-dove
Leptotila verreauxi,White-tipped_Dove
Leptotila plumbeiceps,Grey-headed_Dove
Leptotila jamaicensis,Caribbean_Dove
Leptotila cassini,Grey-chested_Dove
Geotrygon carrikeri,Tuxtla_Quail-dove
Geotrygon albifacies,White-faced_Quail-dove
Geotrygon chrysia,Key_West Quail-dove
Geotrygon montana,Ruddy_Quail-dove
Eurypyga helias,Sunbittern_Grus canadensis,Sandhill_Crane
Grus grus,Common_Crane
Grus americana,Whooping_Crane
Aramus guarauna,Limpkin_Heliornis fulica,Sungrebe_Coturnicops noveboracensis,Yellow_Rail
Laterallus ruber,Ruddy_Crake
Laterallus jamaicensis,Black_Rail
Gallirallus wakensis,Wake_Island Rail
Rallus longirostris,Clapper_Rail
Rallus elegans,King_Rail
Rallus limicola,Virginia_Rail
Aramides axillaris,Rufous-necked_Wood-rail
Aramides cajaneus,Grey-necked_Wood-rail
Amaurolimnas concolor,Uniform_Crake
Porzana palmeri,Laysan_Rail
Porzana carolina,Sora_Porzana sandwichensis,Hawaiian_Rail
Porzana flaviventer,Yellow-breasted_Crake
Neocrex erythrops,Paint-billed_Crake
Pardirallus maculatus,Spotted_Rail
Porphyrio martinicus,Yellow-legged_Gallinule
Porphyrio flavirostris,Azure_Gallinule
Gallinula chloropus,Common_Moorhen
Fulica alai,Hawaiian_Coot
Fulica americana,American_Coot
Scolopax minor,American_Woodcock
Gallinago stenura,Pintail_Snipe
Limosa haemastica,Hudsonian_Godwit
Limosa lapponica,Bar-tailed_Godwit
Limosa fedoa,Marbled_Godwit
Numenius borealis,Eskimo_Curlew
Numenius phaeopus,Whimbrel_Numenius tahitiensis,Bristle-thighed_Curlew
Numenius americanus,Long-billed_Curlew
Numenius madagascariensis,Far_Eastern Curlew
Bartramia longicauda,Upland_Sandpiper
Tringa erythropus,Spotted_Redshank
Tringa nebularia,Common_Greenshank
Tringa melanoleuca,Greater_Yellowlegs
Tringa flavipes,Lesser_Yellowlegs
Tringa solitaria,Solitary_Sandpiper
Tringa glareola,Wood_Sandpiper
Xenus cinereus,Terek_Sandpiper
Actitis macularius,Spotted_Sandpiper
Heteroscelus brevipes,Grey-tailed_Tattler
Heteroscelus incanus,Wandering_Tattler
Catoptrophorus semipalmatus,Willet_Arenaria interpres,Ruddy_Turnstone
Arenaria melanocephala,Black_Turnstone
Limnodromus griseus,Short-billed_Dowitcher
Limnodromus scolopaceus,Long-billed_Dowitcher
Aphriza virgata,Surfbird_Calidris canutus,Red_Knot
Calidris alba,Sanderling_Calidris pusilla,Semipalmated_Sandpiper
Calidris mauri,Western_Sandpiper
Calidris ruficollis,Red-necked_Stint
Calidris subminuta,Long-toed_Stint
Calidris minutilla,Least_Sandpiper
Calidris fuscicollis,White-rumped_Sandpiper
Calidris bairdii,Baird's_Sandpiper
Calidris melanotos,Pectoral_Sandpiper
Calidris acuminata,Sharp-tailed_Sandpiper
Calidris maritima,Purple_Sandpiper
Calidris ptilocnemis,Rock_Sandpiper
Calidris alpina,Dunlin_Calidris ferruginea,Curlew_Sandpiper
Calidris himantopus,Stilt_Sandpiper
Tryngites subruficollis,Buff-breasted_Sandpiper
Steganopus tricolor,Wilson's_Phalarope
Phalaropus lobatus,Red-necked_Phalarope
Phalaropus fulicarius,Red_Phalarope
Jacana spinosa,Northern_Jacana
Burhinus bistriatus,Double-striped_Thick-knee
Haematopus bachmani,Black_Oystercatcher
Haematopus palliatus,American_Oystercatcher
Recurvirostra americana,American_Avocet
Pluvialis fulva,Pacific_Golden Plover
Pluvialis dominica,American_Golden Plover
Pluvialis squatarola,Grey_Plover
Charadrius hiaticula,Common_Ringed Plover
Charadrius semipalmatus,Semipalmated_Plover
Charadrius wilsonia,Wilson's_Plover
Charadrius vociferus,Killdeer_Charadrius melodus,Piping_Plover
Charadrius alexandrinus,Kentish_Plover
Charadrius collaris,Collared_Plover
Charadrius mongolus,Lesser_Sand Plover
Charadrius montanus,Mountain_Plover
Eudromias morinellus,Eurasian_Dotterel
Glareola maldivarum,Oriental_Pratincole
Stercorarius skua,Great_Skua
Stercorarius maccormicki,South_Polar Skua
Stercorarius pomarinus,Pomarine_Jaeger
Stercorarius parasiticus,Parasitic_Jaeger
Stercorarius longicaudus,Long-tailed_Jaeger
Rynchops niger,Black_Skimmer
Larus heermanni,Heermann's_Gull
Larus canus,Mew_Gull
Larus delawarensis,Ring-billed_Gull
Larus californicus,California_Gull
Larus marinus,Great_Black-backed Gull
Larus dominicanus,Kelp_Gull
Larus glaucescens,Glaucous-winged_Gull
Larus occidentalis,Western_Gull
Larus livens,Yellow-footed_Gull
Larus hyperboreus,Glaucous_Gull
Larus glaucoides,Iceland_Gull
Larus argentatus,Herring_Gull
Larus schistisagus,Slaty-backed_Gull
Larus fuscus,Lesser_Black-backed Gull
Larus ridibundus,Black-headed_Gull
Larus philadelphia,Bonaparte's_Gull
Larus atricilla,Laughing_Gull
Larus pipixcan,Franklin's_Gull
Larus minutus,Little_Gull
Pagophila eburnea,Ivory_Gull
Rhodostethia rosea,Ross's_Gull
Xema sabini,Sabine's_Gull
Rissa tridactyla,Black-legged_Kittiwake
Rissa brevirostris,Red-legged_Kittiwake
Sterna nilotica,Gull-billed_Tern
Sterna caspia,Caspian_Tern
Sterna maxima,Royal_Tern
Sterna elegans,Elegant_Tern
Sterna sandvicensis,Sandwich_Tern
Sterna dougallii,Roseate_Tern
Sterna hirundo,Common_Tern
Sterna paradisaea,Arctic_Tern
Sterna forsteri,Forster's_Tern
Sterna antillarum,Least_Tern
Sterna aleutica,Aleutian_Tern
Sterna lunata,Grey-backed_Tern
Sterna anaethetus,Bridled_Tern
Sterna fuscata,Sooty_Tern
Chlidonias niger,Black_Tern
Phaetusa simplex,Large-billed_Tern
Anous stolidus,Brown_Noddy
Anous minutus,Black_Noddy
Procelsterna cerulea,Blue_Noddy
Gygis alba,Common_White Tern
Alle alle,Little_Auk
Uria aalge,Common_Guillemot
Uria lomvia,Thick-billed_Guillemot
Alca torda,Razorbill_Pinguinus impennis,Great_Auk
Cepphus grylle,Black_Guillemot
Cepphus columba,Pigeon_Guillemot
Brachyramphus marmoratus,Marbled_Murrelet
Brachyramphus brevirostris,Kittlitz's_Murrelet
Synthliboramphus hypoleucus,Xantus's_Murrelet
Synthliboramphus craveri,Craveri's_Murrelet
Synthliboramphus antiquus,Ancient_Murrelet
Ptychoramphus aleuticus,Cassin's_Auklet
Aethia psittacula,Parakeet_Auklet
Aethia cristatella,Crested_Auklet
Aethia pygmaea,Whiskered_Auklet
Aethia pusilla,Least_Auklet
Cerorhinca monocerata,Rhinoceros_Auklet
Fratercula arctica,Atlantic_Puffin
Fratercula corniculata,Horned_Puffin
Fratercula cirrhata,Tufted_Puffin
Pandion haliaetus,Osprey_Leptodon cayanensis,Grey-headed_Kite
Chondrohierax uncinatus,Hook-billed_Kite
Elanoides forficatus,American_Swallow-tailed Kite
Elanus leucurus,White-tailed_Kite
Rostrhamus sociabilis,Snail_Kite
Harpagus bidentatus,Double-toothed_Kite
Ictinia mississippiensis,Mississippi_Kite
Ictinia plumbea,Plumbeous_Kite
Haliaeetus leucocephalus,Bald_Eagle
Circus cyaneus,Northern_Harrier
Accipiter cooperii,Cooper's_Hawk
Accipiter bicolor,Bicoloured_Hawk
Accipiter gentilis,Northern_Goshawk
Geranospiza caerulescens,Crane_Hawk
Leucopternis albicollis,White_Hawk
Buteogallus urubitinga,Great_Black-hawk
Parabuteo unicinctus,Harris's_Hawk
Busarellus nigricollis,Black-collared_Hawk
Harpyhaliaetus solitarius,Solitary_Eagle
Buteo magnirostris,Roadside_Hawk
Buteo lineatus,Red-shouldered_Hawk
Buteo platypterus,Broad-winged_Hawk
Buteo brachyurus,Short-tailed_Hawk
Buteo swainsoni,Swainson's_Hawk
Buteo albicaudatus,White-tailed_Hawk
Buteo albonotatus,Zone-tailed_Hawk
Buteo solitarius,Hawaiian_Hawk
Buteo jamaicensis,Red-tailed_Hawk
Buteo regalis,Ferruginous_Hawk
Buteo lagopus,Rough-legged_Hawk
Morphnus guianensis,Crested_Eagle
Harpia harpyja,Harpy_Eagle
Aquila chrysaetos,Golden_Eagle
Spizaetus melanoleucus,Black-and-white_Hawk-eagle
Spizaetus tyrannus,Black_Hawk-eagle
Spizaetus ornatus,Ornate_Hawk-eagle
Ibycter americanus,Red-throated_Caracara
Caracara cheriway,Crested_Caracara
Herpetotheres cachinnans,Laughing_Falcon
Micrastur ruficollis,Barred_Forest-falcon
Micrastur semitorquatus,Collared_Forest-falcon
Falco sparverius,American_Kestrel
Falco femoralis,Aplomado_Falcon
Falco columbarius,Merlin_Falco rufigularis,Bat_Falcon
Falco rusticolus,Gyr_Falcon
Falco mexicanus,Prairie_Falcon
Falco peregrinus,Peregrine_Falcon
Falco deiroleucus,Orange-breasted_Falcon
Tachybaptus dominicus,Least_Grebe
Podilymbus podiceps,Pied-billed_Grebe
Podiceps grisegena,Red-necked_Grebe
Podiceps auritus,Horned_Grebe
Podiceps nigricollis,Black-necked_Grebe
Aechmophorus occidentalis,Western_Grebe
Aechmophorus clarkii,Clark's_Grebe
Phaethon aethereus,Red-billed_Tropicbird
Phaethon rubricauda,Red-tailed_Tropicbird
Phaethon lepturus,White-tailed_Tropicbird
Morus bassanus,Northern_Gannet
Sula nebouxii,Blue-footed_Booby
Sula sula,Red-footed_Booby
Sula leucogaster,Brown_Booby
Anhinga anhinga,Anhinga_Phalacrocorax penicillatus,Brandt's_Cormorant
Phalacrocorax brasilianus,Neotropic_Cormorant
Phalacrocorax auritus,Double-crested_Cormorant
Phalacrocorax carbo,Great_Cormorant
Phalacrocorax urile,Red-faced_Cormorant
Egretta rufescens,Reddish_Egret
Egretta tricolor,Tricoloured_Heron
Egretta caerulea,Little_Blue Heron
Egretta gularis,Western_Reef-egret
Egretta thula,Snowy_Egret
Ardea herodias,Great_Blue Heron
Casmerodius albus,Great_Egret
Bubulcus ibis,Cattle_Egret
Butorides virescens,Green_Heron
Agamia agami,Agami_Heron
Nyctanassa violacea,Yellow-crowned_Night-heron
Nycticorax nycticorax,Black-crowned_Night-heron
Cochlearius cochlearius,Boat-billed_Heron
Tigrisoma mexicanum,Bare-throated_Tiger-heron
Ixobrychus sinensis,Yellow_Bittern
Ixobrychus exilis,Least_Bittern
Botaurus lentiginosus,American_Bittern
Botaurus pinnatus,Pinnated_Bittern
Eudocimus albus,White_Ibis
Plegadis falcinellus,Glossy_Ibis
Plegadis chihi,White-faced_Ibis
Platalea ajaja,Roseate_Spoonbill
Pelecanus erythrorhynchos,American_White Pelican
Coragyps atratus,Black_Vulture
Cathartes aura,Turkey_Vulture
Cathartes burrovianus,Lesser_Yellow-headed Vulture
Gymnogyps californianus,California_Condor
Sarcoramphus papa,King_Vulture
Mycteria americana,Wood_Stork
Jabiru mycteria,Jabiru_Fregata magnificens,Magnificent_Frigatebird
Fregata minor,Greater_Frigatebird
Fregata ariel,Lesser_Frigatebird
Gavia stellata,Red-throated_Loon
Gavia arctica,Arctic_Loon
Gavia pacifica,Pacific_Loon
Gavia immer,Common_Loon
Gavia adamsii,Yellow-billed_Loon
Fulmarus glacialis,Northern_Fulmar
Pterodroma nigripennis,Black-winged_Petrel
Pterodroma cervicalis,White-necked_Petrel
Pterodroma inexpectata,Mottled_Petrel
Pterodroma hypoleuca,Bonin_Petrel
Pterodroma cookii,Cook's_Petrel
Pterodroma pycrofti,Pycroft's_Petrel
Pterodroma longirostris,Stejneger's_Petrel
Pterodroma sandwichensis,Hawaiian_Petrel
Pterodroma phaeopygia,Galapagos_Petrel
Pterodroma neglecta,Kermadec_Petrel
Pterodroma externa,Juan_Fernandez Petrel
Pterodroma solandri,Providence_Petrel
Pterodroma feae,Fea's_Petrel
Pterodroma cahow,Bermuda_Petrel
Pterodroma hasitata,Black-capped_Petrel
Bulweria bulwerii,Bulwer's_Petrel
Procellaria parkinsoni,Parkinson's_Petrel
Calonectris diomedea,Cory's_Shearwater
Calonectris leucomelas,Streaked_Shearwater
Puffinus pacificus,Wedge-tailed_Shearwater
Puffinus bulleri,Buller's_Shearwater
Puffinus carneipes,Flesh-footed_Shearwater
Puffinus creatopus,Pink-footed_Shearwater
Puffinus gravis,Great_Shearwater
Puffinus griseus,Sooty_Shearwater
Puffinus tenuirostris,Short-tailed_Shearwater
Puffinus nativitatis,Christmas_Island Shearwater
Puffinus puffinus,Manx_Shearwater
Puffinus auricularis,Townsend's_Shearwater
Puffinus newelli,Newell's_Shearwater
Puffinus opisthomelas,Black-vented_Shearwater
Puffinus lherminieri,Audubon's_Shearwater
Phoebastria albatrus,Short-tailed_Albatross
Phoebastria nigripes,Black-footed_Albatross
Phoebastria immutabilis,Laysan_Albatross
Oceanites oceanicus,Wilson's_Storm-petrel
Halocyptena microsoma,Least_Storm-petrel
Oceanodroma tethys,Wedge-rumped_Storm-petrel
Oceanodroma leucorhoa,Leach's_Storm-petrel
Oceanodroma macrodactyla,Guadalupe_Storm-petrel
Oceanodroma tristrami,Tristram's_Storm-petrel
Oceanodroma melania,Black_Storm-petrel
Oceanodroma homochroa,Ashy_Storm-petrel
Oceanodroma furcata,Fork-tailed_Storm-petrel
Mionectes oleagineus,Ochre-bellied_Flycatcher
Leptopogon amaurocephalus,Sepia-capped_Flycatcher
Poecilotriccus sylvia,Slate-headed_Tody-flycatcher
Todirostrum cinereum,Common_Tody-flycatcher
Zimmerius vilissimus,Paltry_Tyrannulet
Ornithion semiflavum,Yellow-bellied_Tyrannulet
Camptostoma imberbe,Northern_Beardless-tyrannulet
Myiopagis viridicata,Greenish_Elaenia
Elaenia martinica,Caribbean_Elaenia
Elaenia flavogaster,Yellow-bellied_Elaenia
Oncostoma cinereigulare,Northern_Bentbill
Rhynchocyclus brevirostris,Eye-ringed_Flatbill
Tolmomyias sulphurescens,Yellow-olive_Flycatcher
Platyrinchus cancrominus,Stub-tailed_Spadebill
Terenotriccus erythrurus,Ruddy-tailed_Flycatcher
Xenotriccus callizonus,Belted_Flycatcher
Xenotriccus mexicanus,Pileated_Flycatcher
Mitrephanes phaeocercus,Tufted_Flycatcher
Contopus cooperi,Olive-sided_Flycatcher
Contopus pertinax,Greater_Pewee
Contopus ochraceus,Ochraceous_Pewee
Contopus sordidulus,Western_Wood-pewee
Contopus virens,Eastern_Wood-pewee
Contopus cinereus,Tropical_Pewee
Empidonax flaviventris,Yellow-bellied_Flycatcher
Empidonax virescens,Acadian_Flycatcher
Empidonax alnorum,Alder_Flycatcher
Empidonax traillii,Willow_Flycatcher
Empidonax albigularis,White-throated_Flycatcher
Empidonax minimus,Least_Flycatcher
Empidonax hammondii,Hammond's_Flycatcher
Empidonax wrightii,Grey_Flycatcher
